계 정 과 목,당기 | 기초잔액,당기 | 증감액,당기 | 기말잔액,전기 | 기초잔액,전기 | 증감액,전기 | 기말잔액
1) 일시적차이로 인한 이연법인세:,,,,,,
토지재평가,-898505.0,-182.0,-898687.0,-936822.0,38317.0,-898505.0
"종속기업, 관계기업 및 공동기업 투자(*)",-819038.0,590734.0,-228304.0,-853165.0,34127.0,-819038.0
감가상각누계액 등,-1634038.0,225356.0,-1408682.0,-675483.0,-958555.0,-1634038.0
미수수익,-2487.0,-1077.0,-3564.0,-14879.0,12392.0,-2487.0
충당부채 및 미지급비용 등,3613572.0,1819455.0,5433027.0,3052034.0,561538.0,3613572.0
외화평가조정,147194.0,-22342.0,124852.0,-1461.0,148655.0,147194.0
자산손상,184282.0,-2641.0,181641.0,220916.0,-36634.0,184282.0
퇴직급여,-1427630.0,-451597.0,-1879227.0,-1675673.0,248043.0,-1427630.0
기타,624180.0,-84376.0,539804.0,478445.0,145735.0,624180.0
소 계,-212470.0,2073330.0,1860860.0,-406088.0,193618.0,-212470.0
2) 이월결손금공제로 인한 이연법인세:,,,,,,
이월결손금이월액,0.0,928705.0,928705.0,0.0,0.0,0.0
3) 세액공제로 인한 이연법인세:,,,,,,
세액공제이월액,1625525.0,4713725.0,6339250.0,614893.0,1010632.0,1625525.0
4) 자본에 직접 가감하는 이연법인세:,,,,,,
기타포괄손익-공정가치금융자산평가손익 등,43991.0,-132286.0,-88295.0,-34358.0,78349.0,43991.0
순확정급여부채(자산) 재측정요소,685466.0,205372.0,890838.0,1036653.0,-351187.0,685466.0
소 계,729457.0,73086.0,802543.0,1002295.0,-272838.0,729457.0
이연법인세자산(부채) 계,2142512.0,7788846.0,9931358.0,1211100.0,931412.0,2142512.0
