지역,기업명,업종,지분율 (%)(*)
유럽ㆍ CIS,AKG Acoustics Gmbh,"오디오제품 생산, 판매",100.0
유럽ㆍ CIS,"Apostera UA, LLC",Connected Service Provider,100.0
유럽ㆍ CIS,Harman Audio Iberia Espana Sociedad Limitada,오디오제품 판매,100.0
유럽ㆍ CIS,Harman Becker Automotive Systems GmbH,"오디오제품 생산, 판매, R&D",100.0
유럽ㆍ CIS,Harman Becker Automotive Systems Italy S.R.L.,오디오제품 판매,100.0
유럽ㆍ CIS,Harman Becker Automotive Systems Manufacturing Kft,"오디오제품 생산, R&D",100.0
유럽ㆍ CIS,Harman Belgium SA,오디오제품 판매,100.0
유럽ㆍ CIS,Harman Connected Services AB.,Connected Service Provider,100.0
유럽ㆍ CIS,Harman Finland Oy,Connected Service Provider,100.0
유럽ㆍ CIS,Harman Connected Services GmbH,Connected Service Provider,100.0
유럽ㆍ CIS,Harman Connected Services Poland Sp.zoo,Connected Service Provider,100.0
유럽ㆍ CIS,Harman Connected Services UK Ltd.,Connected Service Provider,100.0
유럽ㆍ CIS,Harman Consumer Nederland B.V.,오디오제품 판매,100.0
유럽ㆍ CIS,Harman Deutschland GmbH,오디오제품 판매,100.0
유럽ㆍ CIS,Harman France SNC,오디오제품 판매,100.0
유럽ㆍ CIS,Harman Holding Gmbh & Co. KG,Management Company,100.0
유럽ㆍ CIS,Harman Hungary Financing Ltd.,Financing Company,100.0
유럽ㆍ CIS,Harman Inc. & Co. KG,해외자회사 관리,100.0
유럽ㆍ CIS,Harman International Estonia OU,R&D,100.0
유럽ㆍ CIS,Harman International Industries Limited,"오디오제품 판매, R&D",100.0
유럽ㆍ CIS,Harman International Romania SRL,R&D,100.0
유럽ㆍ CIS,Harman Management Gmbh,해외자회사 관리,100.0
유럽ㆍ CIS,Harman Professional Kft,"오디오제품 생산, R&D",100.0
유럽ㆍ CIS,Harman Professional Denmark ApS,"오디오제품 판매, R&D",100.0
유럽ㆍ CIS,Red Bend Software SAS,소프트웨어 디자인,100.0
유럽ㆍ CIS,Studer Professional Audio GmbH,"오디오제품 판매, R&D",100.0
유럽ㆍ CIS,Harman Connected Services OOO,Connected Service Provider,100.0
유럽ㆍ CIS,Harman RUS CIS LLC,오디오제품 판매,100.0
