구분,기업명(*1),채권 등(*2),채무 등(*3)
종속기업,삼성디스플레이㈜,32521.0,108011.0
종속기업,"Samsung Electronics America, Inc. (SEA)",868937.0,983709.0
종속기업,Samsung Asia Pte. Ltd. (SAPL),1604.0,1812.0
종속기업,Harman과 그 종속기업(*4),0.0,6537.0
종속기업,"Samsung (China) Semiconductor Co., Ltd. (SCS)",57423.0,751693.0
종속기업,"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)",606030.0,2396411.0
종속기업,"Samsung (CHINA) Investment Co., Ltd. (SCIC)",131285.0,283459.0
종속기업,"Samsung Semiconductor, Inc. (SSI)",4700427.0,263757.0
종속기업,"Samsung Electronics Vietnam Co., Ltd. (SEV)",369380.0,1748670.0
종속기업,Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),693.0,0.0
종속기업,Samsung Austin Semiconductor LLC. (SAS),21309.0,386640.0
종속기업,"Samsung Display Vietnam Co., Ltd. (SDV)",196643.0,7.0
종속기업,Samsung India Electronics Private Ltd. (SIEL),1219298.0,312243.0
종속기업,"Shanghai Samsung Semiconductor Co., Ltd. (SSS)",1623968.0,77.0
종속기업,Samsung Eletronica da Amazonia Ltda. (SEDA),227180.0,3037.0
종속기업,"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)",234870.0,358082.0
종속기업,"Thai Samsung Electronics Co., Ltd. (TSE)",115103.0,379098.0
종속기업,Samsung Electronics (UK) Ltd. (SEUK),76264.0,0.0
종속기업,Samsung Electronics Benelux B.V. (SEBN),18403.0,0.0
종속기업,Samsung Electronics Hungarian Private Co. Ltd. (SEH),11449.0,0.0
종속기업,Samsung Electronics Europe Logistics B.V. (SELS),273816.0,506872.0
종속기업,"Samsung Display Dongguan Co., Ltd. (SDD)",20177.0,11.0
종속기업,세메스㈜,54327.0,561368.0
종속기업,Samsung Electronics GmbH (SEG),10607.0,0.0
종속기업,Samsung Electronics Mexico S.A. De C.V. (SEM),230508.0,1093.0
종속기업,기타,6565258.0,2226116.0
종속기업,계,17667480.0,11278703.0
