table_index,csv_path,row_count,col_count,unit,col_types
2,tables/table_0002.csv,47,6,백만원,"{""과 목"": ""텍스트"", ""주석"": ""주석"", ""제 56 (당) 기"": ""금액"", ""제 56 (당) 기_2"": ""금액"", ""제 55 (전) 기"": ""금액"", ""제 55 (전) 기_2"": ""금액""}"
3,tables/table_0003.csv,15,6,백만원,"{""과 목"": ""텍스트"", ""주 석"": ""주석"", ""제 56 (당) 기"": ""금액"", ""제 56 (당) 기_2"": ""금액"", ""제 55 (전) 기"": ""금액"", ""제 55 (전) 기_2"": ""금액""}"
4,tables/table_0004.csv,7,6,백만원,"{""과 목"": ""텍스트"", ""주 석"": ""주석"", ""제 56 (당) 기"": ""금액"", ""제 56 (당) 기_2"": ""금액"", ""제 55 (전) 기"": ""금액"", ""제 55 (전) 기_2"": ""금액""}"
5,tables/table_0005.csv,17,7,백만원,"{""과 목"": ""텍스트"", ""주 석"": ""주석"", ""자본금"": ""금액"", ""주식발행 초과금"": ""금액"", ""이익잉여금"": ""금액"", ""기타자본항목"": ""금액"", ""총 계"": ""금액""}"
6,tables/table_0006.csv,31,6,백만원,"{""과 목"": ""텍스트"", ""주 석"": ""주석"", ""제 56 (당) 기"": ""금액"", ""제 56 (당) 기_2"": ""금액"", ""제 55 (전) 기"": ""금액"", ""제 55 (전) 기_2"": ""금액""}"
7,tables/table_0007.csv,3,2,,"{""구 분"": ""텍스트"", ""대표추정내용연수"": ""텍스트""}"
8,tables/table_0008.csv,1,2,,"{""구 분"": ""텍스트"", ""대표추정내용연수"": ""텍스트""}"
9,tables/table_0009.csv,6,5,백만원,"{""금융자산"": ""텍스트"", ""상각후원가 측정 금융자산"": ""금액"", ""기타포괄손익-공정 가치 측정 금융자산"": ""금액"", ""당기손익-공정가치 측정 금융자산"": ""금액"", ""계"": ""금액""}"
10,tables/table_0010.csv,9,4,백만원,"{""금융부채"": ""텍스트"", ""상각후원가 측정 금융부채"": ""금액"", ""기타금융부채(*)"": ""금액"", ""계"": ""금액""}"
11,tables/table_0011.csv,7,5,백만원,"{""금융자산"": ""텍스트"", ""상각후원가 측정 금융자산"": ""금액"", ""기타포괄손익-공정 가치 측정 금융자산"": ""금액"", ""당기손익-공정가치 측정 금융자산"": ""금액"", ""계"": ""금액""}"
12,tables/table_0012.csv,9,4,백만원,"{""금융부채"": ""텍스트"", ""상각후원가 측정 금융부채"": ""금액"", ""기타금융부채(*)"": ""금액"", ""계"": ""금액""}"
13,tables/table_0013.csv,6,5,백만원,"{""금융자산"": ""텍스트"", ""상각후원가 측정 금융자산"": ""금액"", ""기타포괄손익-공정 가치 측정 금융자산"": ""금액"", ""당기손익-공정가치 측정 금융자산"": ""금액"", ""계"": ""금액""}"
14,tables/table_0014.csv,2,4,백만원,"{""금융부채"": ""텍스트"", ""상각후원가 측정 금융부채"": ""금액"", ""기타금융부채(*)"": ""금액"", ""계"": ""금액""}"
15,tables/table_0015.csv,6,5,백만원,"{""금융자산"": ""텍스트"", ""상각후원가 측정 금융자산"": ""금액"", ""기타포괄손익-공정 가치 측정 금융자산"": ""금액"", ""당기손익-공정가치 측정 금융자산"": ""금액"", ""계"": ""금액""}"
16,tables/table_0016.csv,2,4,백만원,"{""금융부채"": ""텍스트"", ""상각후원가 측정 금융부채"": ""금액"", ""기타금융부채(*)"": ""금액"", ""계"": ""금액""}"
17,tables/table_0017.csv,2,3,백만원,"{""구 분"": ""텍스트"", ""당기말"": ""금액"", ""전기말"": ""금액""}"
18,tables/table_0018.csv,1,3,백만원,"{""구 분"": ""텍스트"", ""당기말"": ""금액"", ""전기말"": ""금액""}"
19,tables/table_0019.csv,1,3,백만원,"{""구 분"": ""텍스트"", ""당기말"": ""금액"", ""전기말"": ""금액""}"
20,tables/table_0020.csv,5,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
21,tables/table_0021.csv,4,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
22,tables/table_0022.csv,6,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
23,tables/table_0023.csv,20,6,백만원,"{""기 업 명"": ""텍스트"", ""당기말 | 보유주식수 (주)"": ""주"", ""당기말 | 지분율 (%)(*)"": ""%"", ""당기말 | 취득원가"": ""금액"", ""당기말 | 장부금액 (시장가치)"": ""금액"", ""전기말 | 장부금액 (시장가치)"": ""금액""}"
24,tables/table_0024.csv,5,5,백만원,"{""구 분"": ""텍스트"", ""당기말 | 매출채권"": ""금액"", ""당기말 | 미수금"": ""금액"", ""전기말 | 매출채권"": ""금액"", ""전기말 | 미수금"": ""금액""}"
25,tables/table_0025.csv,4,5,백만원,"{""구 분"": ""텍스트"", ""당기 | 매출채권"": ""금액"", ""당기 | 미수금"": ""금액"", ""전기 | 매출채권"": ""금액"", ""전기 | 미수금"": ""금액""}"
26,tables/table_0026.csv,7,5,백만원,"{""구 분"": ""텍스트"", ""당기말 | 매출채권"": ""금액"", ""당기말 | 미수금"": ""금액"", ""전기말 | 매출채권"": ""금액"", ""전기말 | 미수금"": ""금액""}"
27,tables/table_0027.csv,5,7,백만원,"{""구 분"": ""텍스트"", ""당기말 | 평가전금액"": ""금액"", ""당기말 | 평가충당금"": ""금액"", ""당기말 | 장부금액"": ""금액"", ""전기말 | 평가전금액"": ""금액"", ""전기말 | 평가충당금"": ""금액"", ""전기말 | 장부금액"": ""금액""}"
28,tables/table_0028.csv,5,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
29,tables/table_0029.csv,5,5,백만원,"{""기업명"": ""텍스트"", ""관계의 성격"": ""텍스트"", ""지분율(%)(*1)"": ""%"", ""주사업장"": ""텍스트"", ""결산월"": ""텍스트""}"
30,tables/table_0030.csv,15,5,백만원,"{""기업명(*)"": ""텍스트"", ""당기 | 자산"": ""금액"", ""당기 | 부채"": ""금액"", ""당기 | 매출액"": ""금액"", ""당기 | 당기순이익(손실)"": ""금액""}"
31,tables/table_0031.csv,15,5,백만원,"{""기업명(*)"": ""텍스트"", ""전기 | 자산"": ""금액"", ""전기 | 부채"": ""금액"", ""전기 | 매출액"": ""금액"", ""전기 | 당기순이익(손실)"": ""금액""}"
32,tables/table_0032.csv,11,6,백만원,"{""구 분"": ""텍스트"", ""당기 | 삼성전기㈜"": ""금액"", ""당기 | 삼성에스디에스㈜"": ""금액"", ""당기 | 삼성바이오로직스㈜"": ""금액"", ""당기 | 삼성SDI㈜"": ""금액"", ""당기 | ㈜제일기획"": ""금액""}"
33,tables/table_0033.csv,11,6,백만원,"{""구 분"": ""텍스트"", ""전기 | 삼성전기㈜"": ""금액"", ""전기 | 삼성에스디에스㈜"": ""금액"", ""전기 | 삼성바이오로직스㈜"": ""금액"", ""전기 | 삼성SDI㈜"": ""금액"", ""전기 | ㈜제일기획"": ""금액""}"
34,tables/table_0034.csv,5,6,"주, 백만원","{""구 분"": ""텍스트"", ""당기말 | 주식수(주)"": ""주"", ""당기말 | 시장가치"": ""금액"", ""당기말 | 장부금액"": ""금액"", ""전기말 | 시장가치"": ""금액"", ""전기말 | 장부금액"": ""금액""}"
35,tables/table_0035.csv,11,7,백만원,"{""구 분"": ""텍스트"", ""토지"": ""금액"", ""건물및구축물"": ""금액"", ""기계장치"": ""금액"", ""건설중인자산"": ""금액"", ""기타"": ""금액"", ""계"": ""금액""}"
36,tables/table_0036.csv,11,7,백만원,"{""구 분"": ""텍스트"", ""토지"": ""금액"", ""건물및구축물"": ""금액"", ""기계장치"": ""금액"", ""건설중인자산"": ""금액"", ""기타"": ""금액"", ""계"": ""금액""}"
37,tables/table_0037.csv,6,6,백만원,"{""구 분"": ""텍스트"", ""토지"": ""금액"", ""건물및구축물"": ""금액"", ""기계장치"": ""금액"", ""기타"": ""금액"", ""계"": ""금액""}"
38,tables/table_0038.csv,6,6,백만원,"{""구 분"": ""텍스트"", ""토지"": ""금액"", ""건물및구축물"": ""금액"", ""기계장치"": ""금액"", ""기타"": ""금액"", ""계"": ""금액""}"
39,tables/table_0039.csv,3,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
40,tables/table_0040.csv,7,6,백만원,"{""구 분"": ""텍스트"", ""산업재산권"": ""금액"", ""개발비"": ""금액"", ""회원권"": ""금액"", ""기타"": ""금액"", ""계"": ""금액""}"
41,tables/table_0041.csv,7,6,백만원,"{""구 분"": ""텍스트"", ""산업재산권"": ""금액"", ""개발비"": ""금액"", ""회원권"": ""금액"", ""기타"": ""금액"", ""계"": ""금액""}"
42,tables/table_0042.csv,3,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
43,tables/table_0043.csv,10,6,백만원,"{""구 분"": ""텍스트"", ""차입처"": ""텍스트"", ""만기일"": ""혼용"", ""연이자율(%) | 당기말"": ""%"", ""금 액 | 당기말"": ""혼용"", ""금 액 | 전기말"": ""혼용""}"
44,tables/table_0044.csv,2,2,백만원,"{""상환연도"": ""텍스트"", ""금 액"": ""금액""}"
45,tables/table_0045.csv,6,2,백만원,"{""상환연도"": ""텍스트"", ""금 액"": ""금액""}"
46,tables/table_0046.csv,5,6,"%, 백만원","{""구 분"": ""텍스트"", ""발행일"": ""텍스트"", ""만기상환일"": ""텍스트"", ""연이자율(%) | 당기말"": ""%"", ""금 액 | 당기말"": ""금액"", ""금 액 | 전기말"": ""금액""}"
47,tables/table_0047.csv,4,2,백만원,"{""상환연도"": ""텍스트"", ""금 액"": ""금액""}"
48,tables/table_0048.csv,5,3,백만원,"{""구 분"": ""텍스트"", ""당기말"": ""금액"", ""전기말"": ""금액""}"
49,tables/table_0049.csv,3,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
50,tables/table_0050.csv,3,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
51,tables/table_0051.csv,10,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
52,tables/table_0052.csv,7,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
53,tables/table_0053.csv,2,3,%,"{""구 분"": ""텍스트"", ""당기말"": ""금액"", ""전기말"": ""금액""}"
54,tables/table_0054.csv,6,3,백만원,"{""구 분"": ""텍스트"", ""당기말"": ""혼용"", ""전기말"": ""혼용""}"
55,tables/table_0055.csv,5,6,백만원,"{""구 분"": ""텍스트"", ""판매보증  (가)"": ""금액"", ""기술사용료  (나)"": ""금액"", ""장기성과급  (다)"": ""금액"", ""기타 (라),(마)"": ""금액"", ""계"": ""금액""}"
56,tables/table_0056.csv,2,2,만톤(tCO2-eq,"{""구 분"": ""텍스트"", ""당기말"": ""금액""}"
57,tables/table_0057.csv,4,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
58,tables/table_0058.csv,4,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
59,tables/table_0059.csv,3,5,백만원,"{""해외종속기업"": ""텍스트"", ""보증처"": ""텍스트"", ""보증종료일"": ""혼용"", ""당기말 | 관련 차입금"": ""혼용"", ""당기말 | 채무보증한도"": ""혼용""}"
60,tables/table_0060.csv,1,3,백만원,"{""구 분"": ""텍스트"", ""당기말"": ""금액"", ""전기말"": ""금액""}"
61,tables/table_0061.csv,6,3,주,"{""구 분"": ""텍스트"", ""유통보통주식수"": ""주"", ""유통우선주식수"": ""주""}"
62,tables/table_0062.csv,5,3,백만원,"{""구 분"": ""텍스트"", ""당기말"": ""금액"", ""전기말"": ""금액""}"
63,tables/table_0063.csv,10,5,백만원,"{""과 목"": ""텍스트"", ""제 56 (당) 기"": ""금액"", ""제 56 (당) 기_2"": ""금액"", ""제 55 (전) 기"": ""금액"", ""제 55 (전) 기_2"": ""금액""}"
64,tables/table_0064.csv,18,5,"주, %, 백만원","{""구 분"": ""텍스트"", ""구 분_2"": ""텍스트"", ""구 분_3"": ""텍스트"", ""당기"": ""혼용"", ""전기"": ""혼용""}"
65,tables/table_0065.csv,7,4,"주, %, 백만원","{""구 분"": ""텍스트"", ""구 분_2"": ""텍스트"", ""당기"": ""혼용"", ""전기"": ""혼용""}"
66,tables/table_0066.csv,5,3,백만원,"{""구 분"": ""텍스트"", ""당기말"": ""금액"", ""전기말"": ""금액""}"
67,tables/table_0067.csv,2,5,"주, 백만원","{""구 분"": ""텍스트"", ""당기말 | 보통주"": ""금액"", ""당기말 | 우선주"": ""금액"", ""전기말 | 보통주"": ""금액"", ""전기말 | 우선주"": ""금액""}"
68,tables/table_0068.csv,13,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
69,tables/table_0069.csv,15,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
70,tables/table_0070.csv,11,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
71,tables/table_0071.csv,13,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
72,tables/table_0072.csv,10,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
73,tables/table_0073.csv,9,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
74,tables/table_0074.csv,20,7,백만원,"{""계 정 과 목"": ""텍스트"", ""당기 | 기초잔액"": ""금액"", ""당기 | 증감액"": ""금액"", ""당기 | 기말잔액"": ""금액"", ""전기 | 기초잔액"": ""금액"", ""전기 | 증감액"": ""금액"", ""전기 | 기말잔액"": ""금액""}"
75,tables/table_0075.csv,3,3,백만원,"{""구 분"": ""텍스트"", ""당기말"": ""금액"", ""전기말"": ""금액""}"
76,tables/table_0076.csv,4,3,"백만원, 천주, 원","{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
77,tables/table_0077.csv,4,3,"백만원, 천주, 원","{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
78,tables/table_0078.csv,13,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
79,tables/table_0079.csv,14,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
80,tables/table_0080.csv,4,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
81,tables/table_0081.csv,3,6,백만원,"{""구 분"": ""텍스트"", ""기초"": ""금액"", ""재무현금흐름"": ""금액"", ""비현금흐름 | 리스신규계약"": ""금액"", ""비현금흐름 | 기타(*)"": ""금액"", ""기말"": ""금액""}"
82,tables/table_0082.csv,3,6,백만원,"{""구 분"": ""텍스트"", ""기초"": ""금액"", ""재무현금흐름"": ""금액"", ""비현금흐름 | 리스신규계약"": ""금액"", ""비현금흐름 | 기타(*)"": ""금액"", ""기말"": ""금액""}"
83,tables/table_0083.csv,2,5,백만원,"{""구 분"": ""텍스트"", ""당기말 | 환율 상승시"": ""금액"", ""당기말 | 환율 하락시"": ""금액"", ""전기말 | 환율 상승시"": ""금액"", ""전기말 | 환율 하락시"": ""금액""}"
84,tables/table_0084.csv,1,6,백만원,"{""구 분"": ""텍스트"", ""3개월 이내"": ""금액"", ""~6개월"": ""금액"", ""~1년"": ""금액"", ""1~5년"": ""금액"", ""5년 초과"": ""금액""}"
85,tables/table_0085.csv,1,6,백만원,"{""구 분"": ""텍스트"", ""3개월 이내"": ""금액"", ""~6개월"": ""금액"", ""~1년"": ""금액"", ""1~5년"": ""금액"", ""5년 초과"": ""금액""}"
86,tables/table_0086.csv,3,3,백만원,"{""구 분"": ""텍스트"", ""당기말"": ""혼용"", ""전기말"": ""혼용""}"
87,tables/table_0087.csv,20,5,백만원,"{""구 분"": ""텍스트"", ""당기말 | 장부금액"": ""금액"", ""당기말 | 공정가치"": ""텍스트"", ""전기말 | 장부금액"": ""금액"", ""전기말 | 공정가치"": ""텍스트""}"
88,tables/table_0088.csv,7,5,백만원,"{""구 분"": ""텍스트"", ""당기말 | 수준 1"": ""혼용"", ""당기말 | 수준 2"": ""혼용"", ""당기말 | 수준 3"": ""혼용"", ""당기말 | 계"": ""혼용""}"
89,tables/table_0089.csv,7,5,백만원,"{""구 분"": ""텍스트"", ""전기말 | 수준 1"": ""혼용"", ""전기말 | 수준 2"": ""혼용"", ""전기말 | 수준 3"": ""혼용"", ""전기말 | 계"": ""혼용""}"
90,tables/table_0090.csv,8,5,"백만원, %","{""구 분"": ""텍스트"", ""공정가치"": ""혼용"", ""가치평가기법"": ""텍스트"", ""'수준 3' 투입변수"": ""텍스트"", ""투입변수 범위"": ""%""}"
91,tables/table_0091.csv,6,3,백만원,"{""금융자산"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
92,tables/table_0092.csv,2,5,백만원,"{""구 분"": ""텍스트"", ""유리한 변동 효과 | 당기손익"": ""금액"", ""유리한 변동 효과 | 자본"": ""금액"", ""불리한 변동 효과 | 당기손익"": ""금액"", ""불리한 변동 효과 | 자본"": ""금액""}"
93,tables/table_0093.csv,4,4,백만원,"{""구 분"": ""텍스트"", ""DX 부문"": ""금액"", ""DS 부문"": ""금액"", ""계(*)"": ""금액""}"
94,tables/table_0094.csv,4,4,백만원,"{""구 분"": ""텍스트"", ""DX 부문"": ""금액"", ""DS 부문"": ""금액"", ""계(*)"": ""금액""}"
