기업명(*),당기 | 자산,당기 | 부채,당기 | 매출액,당기 | 당기순이익(손실)
삼성디스플레이㈜,67541382.0,8305660.0,25401419.0,5989037.0
"Samsung Electronics America, Inc. (SEA)",50777503.0,18653435.0,40650074.0,1628652.0
Samsung Asia Pte. Ltd. (SAPL),31226978.0,353722.0,0.0,5326248.0
"Samsung (China) Semiconductor Co., Ltd. (SCS)",18796411.0,900205.0,11180211.0,1195361.0
"Samsung (CHINA) Investment Co., Ltd. (SCIC)",16111528.0,15246946.0,2754791.0,300719.0
Samsung India Electronics Private Ltd. (SIEL),9561708.0,3226735.0,17048976.0,1408392.0
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),9093393.0,3452430.0,0.0,195012.0
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)",6467878.0,5635634.0,30068460.0,468408.0
Samsung Eletronica da Amazonia Ltda. (SEDA),4679383.0,1486272.0,7935236.0,208102.0
Samsung Electronics (UK) Ltd. (SEUK),3267763.0,2042914.0,6158787.0,181457.0
"Thai Samsung Electronics Co., Ltd. (TSE)",2637138.0,502266.0,4513870.0,166928.0
"Samsung Electronics Taiwan Co., Ltd. (SET)",2411145.0,1642510.0,5744458.0,62255.0
세메스㈜,2365712.0,705818.0,2432656.0,144665.0
Samsung Electronics Mexico S.A. De C.V. (SEM),2017910.0,845480.0,4086721.0,125857.0
Samsung Electronics Europe Logistics B.V. (SELS),1928760.0,1710124.0,15682546.0,-12249.0
