구 분,당기 | 삼성전기㈜,당기 | 삼성에스디에스㈜,당기 | 삼성바이오로직스㈜,당기 | 삼성SDI㈜,당기 | ㈜제일기획
요약 재무상태표:,,,,,
유동자산,5891746.0,9003787.0,5518118.0,10334313.0,2754194.0
비유동자산,6900656.0,4234543.0,11818179.0,30263032.0,568459.0
유동부채,3056861.0,2495409.0,3853188.0,10855694.0,1594190.0
비유동부채,719688.0,1037472.0,2578432.0,8174413.0,251659.0
요약 포괄손익계산서:,,,,,
매출,10294103.0,13828232.0,4547322.0,16592249.0,4344257.0
계속영업손익(*),640865.0,756997.0,1083316.0,544239.0,207515.0
세후중단영업손익(*),38265.0,0.0,0.0,55051.0,0.0
기타포괄손익(*),349340.0,144625.0,-9132.0,722676.0,76571.0
총포괄손익(*),1028470.0,901622.0,1074184.0,1321966.0,284086.0
