구 분,당기말 | 장부금액,당기말 | 공정가치,전기말 | 장부금액,전기말 | 공정가치
금융자산:,,금융자산:,,금융자산:
현금및현금성자산,1653766.0,(*1),6061451.0,(*1)
단기금융상품,10187991.0,(*1),50071.0,(*1)
매출채권,33840357.0,(*1),27363016.0,(*1)
기타포괄손익-공정가치금융자산,2176346.0,2176346,1854503.0,1854503
당기손익-공정가치금융자산,0.0,-,1.0,1
기타(*2),5639328.0,373681,5365519.0,393235
계,53497788.0,,40694561.0,
금융부채:,,금융부채:,,금융부채:
매입채무,10287967.0,(*1),7943834.0,(*1)
단기차입금,11110972.0,(*1),5625163.0,(*1)
미지급금,18331728.0,(*1),15015578.0,(*1)
유동성장기부채,22264226.0,7737,228491.0,6757
- 유동성장기차입금,22256961.0,(*1)(*3),222137.0,(*3)
- 유동성사채,7265.0,7737,6354.0,6757
사채,14530.0,16427,19064.0,21695
장기차입금,795703.0,(*3),22902035.0,(*1)(*3)
장기미지급금,4383749.0,(*1),4486390.0,(*1)
기타,4893869.0,(*1),3652969.0,(*1)
계,72082744.0,,59873524.0,
